spinout_id,year,founded,state,intel_ipr,intel_ownership,intel_capital,others_capital,round_cvc,total_cvc,sic,intel_industry,founder_executive,founders_exp,founders_seniority,founders_kn_spec,patents,uspc_classes,claims,backward_citations,forward_citations,human_capital,intel_specific_human_capital,social_capital,intel_specific_social_capital,acquired,closed,founding_team,employees
1464,2005,2004,OR,0,0,0,0,0,0,ND,0,0,0,8,1,0,,0,0,0,0,0,0,0,0,0,1,0
1464,2006,2004,OR,0,0,0,0,0,0,ND,0,0,0,8,1,0,,0,0,0,0,0,0,0,0,0,1,0
1464,2007,2004,OR,0,0,0,0,0,0,ND,0,0,0,8,1,0,,0,0,0,0,0,0,0,0,0,1,0
1464,2008,2004,OR,0,0,0,0,0,0,ND,0,0,0,8,1,0,,0,0,0,0,0,0,0,0,0,1,0
1464,2009,2004,OR,0,0,0,0,0,0,ND,0,0,0,8,1,0,,0,0,0,0,0,0,0,0,1,1,0
1472,2012,2012,TX,0,0,0,0,0,0,7372,1,1,0,12,1,0,,0,0,0,1.5,.75,6.375,0,0,0,1,1
1472,2013,2012,TX,0,0,0,0,0,0,7372,1,1,0,12,1,0,,0,0,0,.875,.375,3.5,0,0,0,1,1
1472,2014,2012,TX,0,0,0,0,0,0,7372,1,1,0,12,1,0,,0,0,0,.625,.25,2.4375,0,0,0,1,1
1472,2015,2012,TX,0,0,0,0,0,0,7372,1,1,0,12,1,0,,0,0,0,.1875,.1875,1.125,0,0,0,1,0
1473,2012,2012,VA,0,0,0,0,0,0,ND,0,0,0,4,1,0,,0,0,0,0,0,0,0,0,0,1,0
1473,2013,2012,VA,0,0,0,0,0,0,ND,0,0,0,4,1,0,,0,0,0,0,0,0,0,0,0,1,0
1473,2014,2012,VA,0,0,0,0,0,0,ND,0,0,0,4,1,0,,0,0,0,0,0,0,0,0,0,1,0
1473,2015,2012,VA,0,0,0,0,0,0,ND,0,0,0,4,1,0,,0,0,0,0,0,0,0,0,0,1,0
